"","x","y","ownership.name","pc1.01","pc2.01","Country"
"1",-1703261.11852974,4706374.46849632,"Private",0.231723717055801,0.695204360449424,"MEXICO"
"2",-1559556.12918526,4549983.61698205,"Protected",0.314699826018787,0.419815208235863,"MEXICO"
"3",-1680415.26242344,4706738.87227445,"Private",0.358496369418303,0.526146524153399,"MEXICO"
"4",-1620027.76320477,4674929.39882757,"Ejido",0.348957863703723,0.515420915436217,"MEXICO"
"5",-1558585.0032627,4580485.46339695,"Protected",0.245607758731723,0.539575170898251,"MEXICO"
"6",-1514170.10326493,4516984.25970875,"Ejido",0.144386581470538,0.616588665910663,"MEXICO"
"7",-1506303.1649931,4576663.07516799,"Private",0.373896184224407,0.534627123675409,"MEXICO"
"8",-1618184.39836245,4699729.83861091,"Ejido",0.37000570192288,0.563811505085933,"MEXICO"
"9",-1569163.12022835,4633911.48459426,"Private",0.333259369845593,0.523911238178186,"MEXICO"
"10",-1504196.19069064,4566353.78470762,"Private",0.289360579410545,0.583354658144851,"MEXICO"
"11",-1508708.00801891,4505729.88629012,"Private",0.198998422656336,0.543698455481425,"MEXICO"
"12",-1601274.43465174,4642716.87756607,"Private",0.330487985205415,0.486478029829209,"MEXICO"
"13",-1507230.41777501,4581540.75232123,"Private",0.335864256527993,0.573117591121872,"MEXICO"
"14",-1671771.95891617,4577231.94144887,"Ejido",0.128110952886975,0.51640590921725,"MEXICO"
"15",-1479286.20768953,4614825.5372644,"Private",0.268718519861743,0.745998009111294,"MEXICO"
"16",-1638050.96315012,4644773.45422079,"Private",0.375138152003853,0.40783470945989,"MEXICO"
"17",-1599128.88992741,4569671.14200079,"Private",0.175947353578975,0.521143987473447,"MEXICO"
"18",-1539785.2314955,4604597.38069434,"Private",0.279681309370183,0.615938270359194,"MEXICO"
"19",-1657307.00375177,4606240.76230795,"Private",0.239341141890554,0.423653805103431,"MEXICO"
"20",-1519370.16701744,4639320.76082663,"Private",0.290224465917735,0.686550316941358,"MEXICO"
"21",-1646772.01450248,4562419.64066968,"Private",0.105254968888242,0.518827068102231,"MEXICO"
"22",-1544375.47320065,4527613.99914771,"Private",0.133718898286142,0.611804002786986,"MEXICO"
"23",-1684097.51181646,4715934.56522095,"Private",0.329581793315451,0.576766949626107,"MEXICO"
"24",-1627074.23765066,4648872.13710694,"Private",0.329407246493536,0.46095648153301,"MEXICO"
"25",-1649597.43539282,4662164.36399544,"Private",0.305371397480921,0.495897134601582,"MEXICO"
"26",-1583250.86135636,4532884.29046141,"Ejido",0.0879898563036804,0.640654979654771,"MEXICO"
"27",-1661627.71178731,4692517.99178069,"Private",0.296950345046483,0.58743146003841,"MEXICO"
"28",-1477814.28695327,4668815.25592127,"Ejido",0.353824579696262,0.721951529539763,"MEXICO"
"29",-1643547.14679495,4694707.61121818,"Private",0.340192715125811,0.556260224815704,"MEXICO"
"30",-1595765.25191896,4555871.09194172,"Private",0.117477154415643,0.610326343196842,"MEXICO"
"31",-1619375.03141843,4616794.75200085,"Private",0.230427800329512,0.49742717318623,"MEXICO"
"32",-1535956.28086979,4626252.80963107,"Ejido",0.328293006338429,0.588057800332575,"MEXICO"
"33",-1586946.07821603,4565322.73501111,"Ejido",0.132585045549484,0.614893198125604,"MEXICO"
"34",-1526327.12612067,4622963.54059677,"Private",0.219803065028971,0.719423647236633,"MEXICO"
"35",-1624086.3646576,4683715.25727027,"Ejido",0.344102115483064,0.539822352988339,"MEXICO"
"36",-1515182.61891704,4511190.10031931,"Ejido",0.157158653000172,0.590895090655888,"MEXICO"
"37",-1505568.04596114,4610675.13081348,"Protected",0.435834236018126,0.522433873846435,"MEXICO"
"38",-1486808.34676422,4578352.55034835,"Ejido",0.206722948608891,0.706990107697766,"MEXICO"
"39",-1546756.88848859,4553763.87570172,"Protected",0.18656108847772,0.583883588846232,"MEXICO"
"40",-1681874.60991133,4738948.50689653,"Private",0.342034588596213,0.579689117416984,"MEXICO"
"41",-1657037.63557,4565717.29671916,"Private",0.178928841844423,0.444768267927604,"MEXICO"
"42",-1680075.88678038,4621242.37076645,"Ejido",0.235916502346575,0.464826296031875,"MEXICO"
"43",-1488870.87619107,4610427.59649584,"Protected",0.214984549251806,0.781534428499082,"MEXICO"
"44",-1507876.48430172,4620194.26047799,"Private",0.271644223525886,0.693719945216638,"MEXICO"
"45",-1518639.42931245,4642068.70067652,"Private",0.290767389893475,0.690500652647181,"MEXICO"
"46",-1524247.80268541,4556974.28726962,"Private",0.125058918753433,0.696193223778392,"MEXICO"
"47",-1612266.74453099,4656850.04811651,"Ejido",0.307691759332067,0.527859622266985,"MEXICO"
"48",-1519219.53964046,4609561.24071219,"Private",0.196117868158061,0.782775712212138,"MEXICO"
"49",-1672513.59047781,4738261.2047077,"Private",0.359136712769992,0.54767605200851,"MEXICO"
"50",-1660527.79003347,4550712.14882321,"Private",0.10939062497409,0.507267082103998,"MEXICO"
"51",-1597964.08691679,4598718.45250125,"Private",0.210740688245285,0.524685044797279,"MEXICO"
"52",-1571588.13727876,4655955.56175928,"Protected",0.340629779140589,0.539978221555636,"MEXICO"
"53",-1680714.75640867,4674428.06480419,"Ejido",0.213259120062289,0.644566758389165,"MEXICO"
"54",-1513841.26781205,4685106.40415261,"Ejido",0.347790173886154,0.714760239971544,"MEXICO"
"55",-1642319.51198873,4623084.87961473,"Private",0.255111905969443,0.454115261544759,"MEXICO"
"56",-1555729.53931283,4564193.2713583,"Protected",0.28102070835012,0.48551260922481,"MEXICO"
