"","times.burned","x","y","Country","group","pc1.01","pc2.01"
"1",1,565282.5748,3612291.953,"US",1,0.437214785431312,0.608585257816921
"2",1,608882.5748,3626991.953,"US",1,0.287421537637717,0.816957799125867
"3",1,552182.5748,3384991.953,"MEXICO",1,0.285225895384067,0.425162004573107
"4",1,490282.5748,3489791.953,"US",1,0.236151763074831,0.628174162842324
"5",1,672782.5748,3395591.953,"MEXICO",1,0.451456079640032,0.499482442959547
"6",1,529882.5748,3418191.953,"MEXICO",1,0.202276605452432,0.59798753677491
"7",1,514982.5748,3593191.953,"US",1,0.250318367452246,0.6964188833797
"8",1,528382.5748,3463491.953,"MEXICO",1,0.391519740844312,0.511967804168792
"9",1,487982.5748,3490691.953,"US",1,0.258147063222451,0.553691536989097
"10",1,518382.5748,3594991.953,"US",1,0.472708806663992,0.416649563881026
"11",1,594982.5748,3623991.953,"US",1,0.46438252743679,0.603898437398879
"12",1,638582.5748,3349391.953,"MEXICO",1,0.300260777406552,0.444372365939663
"13",1,590482.5748,3346691.953,"MEXICO",1,0.190081382881035,0.450319849532345
"14",1,575482.5748,3634291.953,"US",1,0.346300537062706,0.643239305850055
"15",1,553482.5748,3324591.953,"MEXICO",1,0.0995067670711227,0.451822212014423
"16",1,545982.5748,3334191.953,"MEXICO",1,0.199104927201131,0.386355359115642
"17",1,548082.5748,3329591.953,"MEXICO",1,0.175526812602292,0.402424655526168
"18",1,568282.5748,3475791.953,"US",1,0.396324002170225,0.388464777875677
"19",1,664782.5748,3516891.953,"US",1,0.53282595332389,0.425343057662957
"20",1,515282.5748,3583691.953,"US",1,0.536549593581157,0.367125795903543
"21",1,710682.5748,3347591.953,"MEXICO",1,0.241108507425867,0.676897832737152
"22",1,550282.5748,3560591.953,"US",1,0.231441119054789,0.689899585644376
"23",1,656082.5748,3539191.953,"US",1,0.45424039043133,0.563703850298886
"24",1,686082.5748,3464791.953,"MEXICO",1,0.275480615133312,0.866847921518377
"25",1,548682.5748,3456991.953,"MEXICO",1,0.379783190672207,0.553292819902739
"26",1,511482.5748,3457091.953,"MEXICO",1,0.311987093156238,0.573494753558039
"27",1,682782.5748,3355491.953,"MEXICO",1,0.301601423716182,0.560697460477396
"28",1,686782.5748,3362891.953,"MEXICO",1,0.218596175041606,0.661769932925368
"29",1,489782.5748,3475891.953,"US",1,0.267205373447461,0.631586248309153
"30",1,566482.5748,3468391.953,"US",1,0.342682366140627,0.51725410866306
